cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.03130027105877875,2.5,2023-01-17 19:32:39,4,2274067.255211094,0,0
0.031006335272081628,1,2023-01-17 19:32:49,2,2102821.0738402945,10,0
0.026201247509174724,1,2023-01-17 19:32:59,2,490740.98932477325,20,0.13333333333333333
0.011453255655457933,1,2023-01-17 19:33:09,2,53099.91162647724,30,0.8666666666666667
0.00992926158048596,2.5,2023-01-17 19:33:19,4,84367.60859857433,40,0.6666666666666667
0.5487416864893355,2.5,2023-01-17 19:33:29,4,10371873.027647352,50,0.9333333333333333
0.7324282157625113,2.5,2023-01-17 19:33:39,4,14011968.627923002,60,1
0.8780879378423397,2.5,2023-01-17 19:33:49,4,9506529.58793048,70,1
2.529430509039695,2.5,2023-01-17 19:33:59,4,3990432.4393622237,80,1.2
2.6874511438341164,2.5,2023-01-17 19:34:09,4,2569349.0314382077,90,1.9333333333333331
2.7112683234057506,2.5,2023-01-17 19:34:19,4,2410655.281148279,100,1.3333333333333333
2.1467539864804825,2.5,2023-01-17 19:34:29,4,1368086.1297179377,110,1.2
2.8245905656587933,2.5,2023-01-17 19:34:39,4,1738240.2957785167,120,1.6666666666666665
2.435889578710742,5,2023-01-17 19:34:49,6,1539101.4056838355,130,1.3333333333333333
2.8417179323102233,5,2023-01-17 19:34:59,6,2306799.2824364924,140,1.3333333333333333
