cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.33671439062604347,9.5,2023-01-17 14:32:44,6,6220877.975674489,0,0
0.6638652133707373,9.5,2023-01-17 14:32:54,6,15507806.187534055,10,0
0.7438442241065124,9.5,2023-01-17 14:33:04,6,18801777.688602943,20,0.13333333333333333
1.183444215219428,33,2023-01-17 14:33:14,22,16025241.490375519,30,0.6000000000000001
1.1765191590049289,33,2023-01-17 14:33:24,22,15495140.431108372,40,1.4
1.0734156822138539,33,2023-01-17 14:33:34,22,10952830.154835565,50,1.0668089078543805
1.8371142770182665,7,2023-01-17 14:33:44,7,6586311.932172392,60,1.2116316639741518
2.485873291488492,7,2023-01-17 14:33:54,7,11741888.156705232,70,0.8666666666666666
2.638798979758249,7,2023-01-17 14:34:04,7,16571645.451074902,80,1
2.595417850621095,20.5,2023-01-17 14:34:14,17,9352241.62205438,90,1.7333333333333334
,20.5,2023-01-17 14:34:24,17,,100,1.7999999999999998
