cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.004317642179464058,3.5,2023-01-17 19:17:23,4,680085.5834987571,0,0
0.0018695049108071694,3.5,2023-01-17 19:17:33,4,992930.4379795115,10,0
0.02783260634793691,2.5,2023-01-17 19:17:43,4,2418232.948870336,20,0.6
0.8397856610869806,2.5,2023-01-17 19:17:53,4,10358635.29633338,30,1.2
1.130809507871633,2.5,2023-01-17 19:18:03,4,12807787.68945828,40,1
1.1091646072049273,5.5,2023-01-17 19:18:13,7,12464809.723590823,50,0.6666666666666666
1.326863650384037,5.5,2023-01-17 19:18:23,7,5980665.014780798,60,1.4666666666666668
1.7415968968448297,5.5,2023-01-17 19:18:33,7,1954510.057452363,70,1.8666666666666665
1.7469276807059275,2.5,2023-01-17 19:18:43,4,1963447.51746003,80,1.6666666666666665
0.06883206781725698,2.5,2023-01-17 19:18:53,4,163053.19675882204,90,1.0666666666666667
1.9638051276388435,2.5,2023-01-17 19:19:03,4,3682915.807152545,100,1.2666666666666666
1.9554003255076038,5.5,2023-01-17 19:19:13,7,3659720.682808188,110,1.4659825414806424
1.19838425201764,5.5,2023-01-17 19:19:23,7,8196588.647048532,120,2.6659557451346307
2.5085383103376966,5.5,2023-01-17 19:19:33,7,17327403.005490217,130,2.733333333333333
