cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.014885007224358142,2.5,2023-01-19 10:26:12,4,6686.016583295296,0,0
0.22242300370486406,2.5,2023-01-19 10:26:22,4,18741232.51495148,10,0.26666666666666666
0.3065240899547462,2.5,2023-01-19 10:26:32,4,27266885.785951085,20,0.3333333333333333
0.3149966447286805,2.5,2023-01-19 10:26:42,4,28399750.575888183,30,0.6
1.1638755993258842,2.5,2023-01-19 10:26:52,4,9380433.604660764,40,1.0666666666666667
1.7400616893582999,2.5,2023-01-19 10:27:02,4,2061956.2827091846,50,1.0666666666666667
1.7520548943633394,2.5,2023-01-19 10:27:12,4,123929.98380105273,60,1.3333333333333333
2.842210627066227,2.5,2023-01-19 10:27:22,4,253188.8934330093,70,1.2
2.8557040962318814,2.5,2023-01-19 10:27:32,4,263712.9623659318,80,0.9333333333333333
2.4666903162664555,2.5,2023-01-19 10:27:42,4,245104.1755091915,90,1.4
2.7465777470515764,2.5,2023-01-19 10:27:52,4,2650601.9487939933,100,1.0666666666666667
3.149760225669724,2.5,2023-01-19 10:28:02,4,3355562.9225455276,110,1.0666666666666667
2.714826732986006,2.5,2023-01-19 10:28:12,4,2614283.6979419426,120,1.0666666666666667
3.0409936483036333,2.5,2023-01-19 10:28:22,4,25584783.36541245,130,1.0666666666666667
3.0417259891050237,2.5,2023-01-19 10:28:32,4,25586832.187768556,140,1.0666666666666667
3.0409583797120985,2.5,2023-01-19 10:28:42,4,25593361.85079881,150,1.0666666666666667
1.6536082786391428,2.5,2023-01-19 10:28:52,4,3275285.836447092,160,1.0666666666666667
