cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.0332635551672325,2.5,2023-01-17 15:14:37,4,961604.7118909402,0,0
0.007054185521433089,1,2023-01-17 15:14:47,0,12166.594608580264,10,0
0.0036293653501930398,1,2023-01-17 15:14:57,0,6269.311928443326,20,0.13333333333333333
0.36448955689688683,1,2023-01-17 15:15:07,0,9018738.734409187,30,0.13333333333333333
0.4728770947562039,2.5,2023-01-17 15:15:17,4,12058053.322444506,40,0.9333333333333333
0.5713187963124183,2.5,2023-01-17 15:15:27,4,14596845.124974847,50,0.8666666666666667
1.9505951808635673,2.5,2023-01-17 15:15:37,4,4515325.749111899,60,1.0666666666666667
2.2002294531911097,4.5,2023-01-17 15:15:47,7,3554634.1901113326,70,1.2
2.2068251106744308,4.5,2023-01-17 15:15:57,7,3572598.9444207856,80,1.1333333333333333
2.872916126652332,4.5,2023-01-17 15:16:07,7,3029220.403643409,90,1.2
2.889187481622235,5.5,2023-01-17 15:16:17,8,3067364.3781341356,100,1.6
2.8936823579102118,5.5,2023-01-17 15:16:27,8,3078784.0250757537,110,1.4666666666666666
2.8534644214436953,5.5,2023-01-17 15:16:37,8,1276905.899907566,120,1.6666666666666665
2.8526673726379865,9.5,2023-01-17 15:16:47,9,1277070.2738178582,130,1.0666666666666667
2.8725784204418034,9.5,2023-01-17 15:16:57,9,1332604.0448313097,140,1.0666666666666667
2.9134740232848975,9.5,2023-01-17 15:17:07,9,3381992.211282467,150,1.0666666666666667
3.0595219517616483,11.5,2023-01-17 15:17:17,18,12428672.077372238,160,1.0666666666666667
,11.5,2023-01-17 15:17:27,18,,170,1.0666666666666667
