cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.0032903187299759204,4,2023-01-17 11:11:01,4,0,0,0
0.003319146530569303,2.5,2023-01-17 11:11:11,4,27393.34998434271,10,0.3333333333333333
0.2190974058207789,2.5,2023-01-17 11:11:21,4,2637506.4294831855,20,0.4666666666666667
0.540746460167077,2.5,2023-01-17 11:11:31,4,5908153.571937711,30,0.5333333333333333
0.6662764691583767,2.5,2023-01-17 11:11:41,4,6922115.139821273,40,0.7333333333333334
1.091170781279023,2.5,2023-01-17 11:11:51,4,7413261.081183346,50,1.2
1.7963424111755628,2.5,2023-01-17 11:12:01,4,9260604.212647462,60,1.2666666666666666
2.228920147256202,3.5,2023-01-17 11:12:11,5,13214442.033039303,70,1.6
2.45885237166535,3.5,2023-01-17 11:12:21,5,10878023.63885131,80,1.5333333333333332
2.1520304717302445,3.5,2023-01-17 11:12:31,5,9621526.02733999,90,1.6
2.103698823692525,2.5,2023-01-17 11:12:41,4,8339137.605988977,100,1.2
2.0605737838533993,2.5,2023-01-17 11:12:51,4,1593517.5672568888,110,1.4
2.1244865807315554,2.5,2023-01-17 11:13:01,4,1133879.0870006226,120,1.9333333333333331
2.286138113574071,2.5,2023-01-17 11:13:11,4,1240610.935632243,130,1.8666666666666665
2.5156669252395307,2.5,2023-01-17 11:13:21,4,1759180.6633757912,140,1.0666666666666667
