cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.00007162683083770447,3.5,2023-01-17 18:43:40,4,17314.063589910405,0,0
0.030716164888798605,2.5,2023-01-17 18:43:50,4,1122864.343631302,10,0.13333333333333333
0.3796829306217984,2.5,2023-01-17 18:44:00,4,5297131.777712407,20,0.5333333333333333
0.45977129514060666,2.5,2023-01-17 18:44:10,4,5639990.296691619,30,0.9333333333333333
0.2689685563482135,2.5,2023-01-17 18:44:20,4,2108261.071992496,40,0.7333333333333334
1.2739492072630973,2.5,2023-01-17 18:44:30,4,10294374.6343125,50,0.8666666666666667
1.5701693802131818,2.5,2023-01-17 18:44:40,4,12163135.161086366,60,1
1.6367632362829292,9.5,2023-01-17 18:44:50,8,9131191.251444578,70,1.3333333333333333
1.3305454469599123,9.5,2023-01-17 18:45:00,8,10004297.770304797,80,1.7333333333333334
1.5168337234419742,9.5,2023-01-17 18:45:10,8,12415921.616205497,90,2.1333333333333333
2.3380702633779316,9.5,2023-01-17 18:45:20,12,26137609.70533643,100,1.7333333333333332
3.157768861472452,9.5,2023-01-17 18:45:30,12,26086745.12412445,110,1.7333333333333334
3.571081361761362,9.5,2023-01-17 18:45:40,12,35333661.60661235,120,2.7333333333333334
