cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.07543932000124709,1,2023-01-17 15:07:18,2,679989.1680939628,0,0
0.0019738625388783797,1,2023-01-17 15:07:28,2,3940.1032481482666,10,0
0.48461624782177787,1,2023-01-17 15:07:38,2,10335647.87073393,20,0.13333333333333333
0.6507582169440558,2.5,2023-01-17 15:07:48,3,14105877.87558095,30,0.9333333333333333
0.8579596556044864,2.5,2023-01-17 15:07:58,3,15312434.473500654,40,1
1.1418831696858975,2.5,2023-01-17 15:08:08,3,3827934.047383821,50,1.1333333333333333
2.3960667285957484,4,2023-01-17 15:08:18,6,4223777.786873082,60,1.1333333333333333
2.311238016459881,4,2023-01-17 15:08:28,6,3724416.106729494,70,1.9333333333333331
1.7703679591171162,4,2023-01-17 15:08:38,6,4319542.737735788,80,1.2
2.120948524106227,4,2023-01-17 15:08:48,4,5050558.021683304,90,0.2
1.7597590283657643,4,2023-01-17 15:08:58,4,4307049.094107536,100,1.0666666666666667
2.930447920995145,4,2023-01-17 15:09:08,4,7431037.626972969,110,1.2666666666666666
3.756624239819748,7,2023-01-17 15:09:18,12,15194554.417604024,120,2.0666666666666664
,7,2023-01-17 15:09:28,12,,130,2
,7,2023-01-17 15:09:38,12,,140,1.4666666666666668
