cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.014546586840305768,2.5,2023-01-17 08:26:46,4,1699291.5885838228,0,1673944006
0.016399351818610727,2.5,2023-01-17 08:26:56,4,4006736.504885899,10,1673944016
0.014956610233553078,2.5,2023-01-17 08:27:06,4,4358016.40707598,20,1673944026
0.9783557134252772,2.5,2023-01-17 08:27:16,4,2853035.8245930606,30,1673944036
0.9882854432186898,2.5,2023-01-17 08:27:26,4,735376.5642911211,40,1673944046
1.162605611016914,2.5,2023-01-17 08:27:36,4,201122.64207534998,50,1673944056
1.968843689952412,2.5,2023-01-17 08:27:46,4,279753.12786613527,60,1673944066
2.0476641807265423,2.5,2023-01-17 08:27:56,4,353099.38779108657,70,1673944076
1.8755125006014532,2.5,2023-01-17 08:28:06,4,325990.6809544752,80,1673944086
3.0224492895271884,2.5,2023-01-17 08:28:16,4,1379867.7313487253,90,1673944096
3.023400614895156,2.5,2023-01-17 08:28:26,4,1380169.0892442216,100,1673944106
2.571263215251991,2.5,2023-01-17 08:28:36,4,15966267.245390613,110,1673944116
2.852929704565266,2.5,2023-01-17 08:28:46,4,18662664.810564257,120,1673944126
3.2574926890135267,2.5,2023-01-17 08:28:56,4,18938962.629691936,130,1673944136
2.2905538902725637,2.5,2023-01-17 08:29:06,4,12758150.567254107,140,1673944146
3.129582376497788,2.5,2023-01-17 08:29:16,4,15614317.116761547,150,1673944156
3.1618227139024846,2.5,2023-01-17 08:29:26,4,15641326.698578207,160,1673944166
1.5930306634833098,2.5,2023-01-17 08:29:36,4,16062764.13061649,170,1673944176
