Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,workload_type,workload_size,Workload TPT,Average Workload TPT,Average FET,Average CT,C_CPU,C_RAM,C_disk_read,C_disk_write,C_network_recieve,C_network_transmit,pod_cpu_aeneas_function,pod_cpu_functions_all,pod_cpu_mosquitto_broker,pod_cpu_mosquitto_connector_aeneas,pod_cpu_mosquitto_connector_tocloud
0.0,0.0,0.0,0.0,0.0,15_WITHOUT_CONF,15,578,38.53333333333333,4.668633333333333,33.8647,21.499999999990308,35.74691030018934,2609.303703703704,306744.88888888893,0.0,577.3654756952456,0.2284071942499806,0.2394581819678944,0.002038193889853,0.0551139404125046,0.0274206852774415
1.0,1.0,1.0,1.0,,5_namespace_WITHOUT_CONF,5,76,15.2,4.6176200000000005,10.58238,0.5447278077732306,1188384768.0,1200.2104151512249,31437.695444589644,122431.65714618776,150067.90166303993,0.3044847217696229,0.3204021110456288,0.0031932980643258,0.2518950070279986,0.0265091224252497
2.0,2.0,2.0,,,1_namespace_WITHOUT_CONF,1,5,5.0,4.7488,0.2511999999999998,0.3204272189071633,1153028096.0,4138.360193838036,140152.46523131485,12083.763075786244,12679.104895862332,0.0885652935199706,0.0961748765968954,0.0007773773241953,0.0273843051222622,0.0285915587080333
3.0,3.0,,,,3_namespace_WITHOUT_CONF,3,30,10.0,4.6895999999999995,5.3104000000000005,0.2933641260646962,1169379328.0,3459.7039823953173,104251.04294728689,11650.515690959384,51432.617775250095,0.470381750357327,0.4807281209201914,0.0024252859527152,0.0225627452039366,0.0139946685255724
4.0,,,,,10_namespace_WITHOUT_CONF,10,284,28.4,4.80399,23.59601,0.4942253814970233,1162260480.0,2230.8185929663714,70079.91076472375,52859.331103983466,77742.50093489862,0.2526610009865607,0.2636293874390005,0.0022866369550663,0.0912260608567752,0.0278255154385447
,,,,,10_namespace_WITHOUT_CONF,10,278,27.8,4.67079,23.129209999999997,0.4798386397047006,1180499968.0,2478.1932694088646,86487.44726903326,62499.759098291805,81325.00410304288,0.2349071113913156,0.2463017898133268,0.0022279927463455,0.0894530492447361,0.0270639917221375
,,,,,10_namespace_WITHOUT_CONF,10,277,27.7,4.6832,23.0168,0.3893560816235223,1147158528.0,2438.3068648521603,92120.15951618033,52588.14513473783,73042.93457268196,0.1504529644288184,0.1612008320309748,0.0021294103422562,0.0756927801400828,0.0270566533882899
,,,,,10_namespace_WITHOUT_CONF,10,273,27.3,4.652100000000001,22.6479,0.5272794256316666,1165737984,2102.8240561908533,81036.9209084686,54226.17891606841,72843.19485873991,0.2859491748621172,0.2966224827796795,0.0022351036713704068,0.06970178062596996,0.026750067066629753
