,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2022-12-27 07:49:45.460535,2022-12-27 07:49:49.748,4.2401,0.0442,4,4.2843,-0.2843,5_5_k8s_k8s
1,2022-12-27 07:49:52.519532,2022-12-27 07:49:57.888,5.3217,0.0456,5,5.3673,-0.3673000000000002,5_5_k8s_k8s
2,2022-12-27 07:49:53.344644,2022-12-27 07:50:00.285,6.8914,0.0437,6,6.9351,-0.9351000000000003,5_5_k8s_k8s
3,2022-12-27 07:50:01.242194,2022-12-27 07:50:05.470,4.1794,0.0408,4,4.2202,-0.22020000000000017,5_5_k8s_k8s
4,2022-12-27 07:50:08.964053,2022-12-27 07:50:13.275,4.2655,0.0399,4,4.305400000000001,-0.30540000000000056,5_5_k8s_k8s
5,2022-12-27 07:50:18.552676,2022-12-27 07:50:22.999,4.3906,0.0517,4,4.4423,-0.44230000000000036,5_5_k8s_k8s
6,2022-12-27 07:50:22.292336,2022-12-27 07:50:27.210,4.8779,0.0394,4,4.9173,-0.9173,5_5_k8s_k8s
7,2022-12-27 07:50:29.072715,2022-12-27 07:50:33.501,4.3803,0.0423,4,4.4226,-0.4226000000000001,5_5_k8s_k8s
8,2022-12-27 07:50:36.300098,2022-12-27 07:50:40.657,4.3145,0.0371,4,4.3515999999999995,-0.35159999999999947,5_5_k8s_k8s
9,2022-12-27 07:50:42.083325,2022-12-27 07:50:46.338,4.2096,0.0405,4,4.2501,-0.25009999999999977,5_5_k8s_k8s
