,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2023-01-07 17:39:35.818932,2023-01-07 17:39:41.002,5.1062,0.0456,5,5.151800000000001,-0.1518000000000006,5_0.1_k8s_k8s
1,2023-01-07 17:39:36.974423,2023-01-07 17:39:43.343,6.2976,0.0380,6,6.3356,-0.33560000000000034,5_0.1_k8s_k8s
2,2023-01-07 17:39:45.778555,2023-01-07 17:39:51.004,5.1562,0.0469,5,5.2031,-0.20310000000000006,5_0.1_k8s_k8s
3,2023-01-07 17:39:46.464296,2023-01-07 17:39:53.479,6.9500,0.0402,7,6.9902,0.009800000000000253,5_0.1_k8s_k8s
4,2023-01-07 17:39:51.215452,2023-01-07 17:40:03.102,11.875,0.0444,11,11.9194,-0.9193999999999996,5_0.1_k8s_k8s
5,2023-01-07 17:39:52.177913,2023-01-07 17:40:03.247,10.317,0.0426,11,10.3596,0.6403999999999996,5_0.1_k8s_k8s
6,2023-01-07 17:39:53.542230,2023-01-07 17:40:03.256,11.683,0.0419,9,11.7249,-2.7249,5_0.1_k8s_k8s
7,2023-01-07 17:39:55.780099,2023-01-07 17:40:06.138,4.3533,0.0452,10,4.3985,5.6015,5_0.1_k8s_k8s
8,2023-01-07 17:39:57.582095,2023-01-07 17:40:08.148,12.332,0.0474,10,12.3794,-2.3794000000000004,5_0.1_k8s_k8s
9,2023-01-07 17:40:00.936588,2023-01-07 17:40:12.840,4.6006,0.1342,11,4.7348,6.2652,5_0.1_k8s_k8s
10,2023-01-07 17:40:01.721354,2023-01-07 17:40:13.323,15.969,0.0611,11,16.0301,-5.030100000000001,5_0.1_k8s_k8s
11,2023-01-07 17:40:04.238282,2023-01-07 17:40:13.633,9.4588,0.0459,9,9.5047,-0.5046999999999997,5_0.1_k8s_k8s
12,2023-01-07 17:40:05.070448,2023-01-07 17:40:13.676,14.735,0.0364,8,14.7714,-6.7714,5_0.1_k8s_k8s
13,2023-01-07 17:40:05.780172,2023-01-07 17:40:16.055,10.905,0.0571,10,10.9621,-0.9620999999999995,5_0.1_k8s_k8s
14,2023-01-07 17:40:06.511675,2023-01-07 17:40:18.066,11.521,0.0972,11,11.618200000000002,-0.6182000000000016,5_0.1_k8s_k8s
