,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 07:27:35.898,2022-09-01 07:27:41.296,4.573,0.0611,5,4.6341,0.3658999999999999
1,2,2022-09-01 07:27:35.904,2022-09-01 07:27:46.853,4.624,0.0347,10,4.6587,5.3413
2,3,2022-09-01 07:27:35.910,2022-09-01 07:27:51.880,4.686,0.0400,15,4.726,10.274000000000001
3,4,2022-09-01 07:27:35.920,2022-09-01 07:27:56.760,4.563,0.0373,20,4.6003,15.3997
4,5,2022-09-01 07:27:35.930,2022-09-01 07:28:01.395,4.562,0.0505,25,4.612500000000001,20.3875
5,6,2022-09-01 07:27:35.938,2022-09-01 07:28:06.886,4.549,0.0385,30,4.5875,25.4125
6,7,2022-09-01 07:27:35.947,2022-09-01 07:28:12.100,4.625,0.0369,36,4.6619,31.3381
7,8,2022-09-01 07:27:35.954,2022-09-01 07:28:17.487,4.788,0.0405,41,4.8285,36.1715
8,9,2022-09-01 07:27:35.962,2022-09-01 07:28:22.430,4.731,0.0438,46,4.7748,41.2252
9,10,2022-09-01 07:27:35.970,2022-09-01 07:28:27.564,4.646,0.0378,51,4.6838,46.3162
10,11,2022-09-01 07:27:35.986,2022-09-01 07:28:32.277,4.558,0.0489,56,4.6068999999999996,51.393100000000004
11,12,2022-09-01 07:27:35.994,2022-09-01 07:28:37.604,4.563,0.0374,61,4.6004,56.3996
12,13,2022-09-01 07:27:36.001,2022-09-01 07:28:42.458,4.700,0.0390,66,4.739,61.261
13,14,2022-09-01 07:27:36.010,2022-09-01 07:28:48.198,4.856,0.0373,72,4.8933,67.1067
14,15,2022-09-01 07:27:36.023,2022-09-01 07:28:53.472,4.739,0.0347,77,4.7737,72.2263
