,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
4,5,2022-08-31 19:21:53.832,2022-08-31 19:21:58.564,4.603,0.0414,4,4.6444,-0.6444000000000001
1,2,2022-08-31 19:21:53.811,2022-08-31 19:22:04.077,4.525,0.0422,10,4.567200000000001,5.432799999999999
7,8,2022-08-31 19:21:53.864,2022-08-31 19:22:08.842,4.648,0.0384,14,4.6864,9.313600000000001
9,10,2022-08-31 19:21:53.879,2022-08-31 19:22:14.303,4.531,0.0401,20,4.5710999999999995,15.4289
5,6,2022-08-31 19:21:53.841,2022-08-31 19:22:20.087,4.759,0.0386,26,4.7976,21.2024
13,14,2022-08-31 19:21:53.911,2022-08-31 19:22:24.817,4.528,0.0370,30,4.5649999999999995,25.435000000000002
6,7,2022-08-31 19:21:53.855,2022-08-31 19:22:29.618,4.722,0.0408,35,4.7628,30.2372
11,12,2022-08-31 19:21:53.895,2022-08-31 19:22:34.394,4.703,0.0426,40,4.7456000000000005,35.2544
0,1,2022-08-31 19:21:53.805,2022-08-31 19:22:39.565,4.716,0.0432,45,4.7592,40.2408
3,4,2022-08-31 19:21:53.825,2022-08-31 19:22:44.547,4.575,0.0396,50,4.6146,45.3854
8,9,2022-08-31 19:21:53.873,2022-08-31 19:22:49.948,4.539,0.0416,56,4.5806,51.4194
14,15,2022-08-31 19:21:53.919,2022-08-31 19:22:55.222,4.522,0.0408,61,4.5628,56.4372
10,11,2022-08-31 19:21:53.886,2022-08-31 19:23:00.646,4.692,0.0538,66,4.7458,61.2542
12,13,2022-08-31 19:21:53.903,2022-08-31 19:23:05.523,4.795,0.0439,71,4.8389,66.1611
2,3,2022-08-31 19:21:53.818,2022-08-31 19:23:11.594,5.085,0.0370,77,5.122,71.878
