,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
2,3,2022-08-31 11:46:25.908,2022-08-31 11:46:32.659, 5.22,0.1574,6,5.3774,0.6226000000000003
1,2,2022-08-31 11:46:25.896,2022-08-31 11:46:33.040, 5.19,0.0459,7,5.2359,1.7641
0,1,2022-08-31 11:46:25.890,2022-08-31 11:46:33.092, 5.39,0.0451,7,5.435099999999999,1.5649000000000006
