,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 07:15:54.898,2022-09-01 07:16:00.944,4.728,0.0385,6,4.7665,1.2335000000000003
1,2,2022-09-01 07:15:54.908,2022-09-01 07:16:05.769,4.772,0.0320,10,4.804,5.196
2,3,2022-09-01 07:15:54.919,2022-09-01 07:16:10.397,4.570,0.0375,15,4.6075,10.3925
3,4,2022-09-01 07:15:54.927,2022-09-01 07:16:15.366,4.664,0.0463,20,4.710299999999999,15.2897
4,5,2022-09-01 07:15:54.940,2022-09-01 07:16:20.195,4.747,0.0481,25,4.7951,20.204900000000002
5,6,2022-09-01 07:15:54.953,2022-09-01 07:16:25.188,4.533,0.0380,30,4.571000000000001,25.429
6,7,2022-09-01 07:15:54.961,2022-09-01 07:16:30.109,4.593,0.0346,35,4.6276,30.3724
7,8,2022-09-01 07:15:54.968,2022-09-01 07:16:34.937,4.719,0.0374,39,4.7564,34.2436
8,9,2022-09-01 07:15:54.978,2022-09-01 07:16:39.817,4.766,0.0441,44,4.8101,39.1899
9,10,2022-09-01 07:15:54.994,2022-09-01 07:16:45.311,4.631,0.0366,50,4.6676,45.3324
10,11,2022-09-01 07:15:55.002,2022-09-01 07:16:50.400,4.750,0.0383,55,4.7883,50.2117
11,12,2022-09-01 07:15:55.008,2022-09-01 07:16:55.352,4.716,0.0402,60,4.7562,55.2438
12,13,2022-09-01 07:15:55.015,2022-09-01 07:17:00.821,4.598,0.0397,65,4.6377,60.3623
13,14,2022-09-01 07:15:55.022,2022-09-01 07:17:05.617,4.728,0.0421,70,4.770099999999999,65.2299
14,15,2022-09-01 07:15:55.046,2022-09-01 07:17:10.258,4.541,0.0411,75,4.5821000000000005,70.4179
