,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2022-12-06 07:32:30.128912,2022-12-06 07:32:35.404,4.2312,0.0376,5,4.268800000000001,0.7311999999999994,5_5_k8s_hpa_only
1,2022-12-06 07:32:30.132114,2022-12-06 07:32:40.263,4.1234,0.0358,10,4.1592,5.8408,5_5_k8s_hpa_only
2,2022-12-06 07:32:30.143397,2022-12-06 07:32:45.051,4.1218,0.0408,14,4.1626,9.837399999999999,5_5_k8s_hpa_only
3,2022-12-06 07:32:30.146518,2022-12-06 07:32:49.471,4.1620,0.0368,19,4.1988,14.8012,5_5_k8s_hpa_only
4,2022-12-06 07:32:30.150036,2022-12-06 07:32:54.447,4.0796,0.0418,24,4.1214,19.8786,5_5_k8s_hpa_only
