,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2023-01-07 17:48:40.485824,2023-01-07 17:48:44.782,4.2252,0.0376,4,4.2628,-0.26280000000000037,10_0.1_k8s_k8s
1,2023-01-07 17:48:47.431940,2023-01-07 17:48:51.796,4.2930,0.0397,4,4.3327,-0.3327,10_0.1_k8s_k8s
2,2023-01-07 17:48:50.448012,2023-01-07 17:48:58.247,7.8214,0.0406,7,7.862,-0.8620000000000001,10_0.1_k8s_k8s
3,2023-01-07 17:48:52.143698,2023-01-07 17:48:58.434,6.2278,0.0466,6,6.2744,-0.2744,10_0.1_k8s_k8s
4,2023-01-07 17:48:56.377181,2023-01-07 17:49:05.250,7.8696,0.0450,8,7.9146,0.08539999999999992,10_0.1_k8s_k8s
5,2023-01-07 17:48:57.313514,2023-01-07 17:49:05.490,9.0596,0.0544,8,9.113999999999999,-1.113999999999999,10_0.1_k8s_k8s
6,2023-01-07 17:49:00.446761,2023-01-07 17:49:14.531,14.020,0.0473,14,14.0673,-0.06729999999999947,10_0.1_k8s_k8s
7,2023-01-07 17:49:00.919852,2023-01-07 17:49:14.584,10.226,0.0513,13,10.2773,2.7226999999999997,10_0.1_k8s_k8s
8,2023-01-07 17:49:04.287836,2023-01-07 17:49:14.590,13.610,0.0555,10,13.6655,-3.6654999999999998,10_0.1_k8s_k8s
9,2023-01-07 17:49:07.579478,2023-01-07 17:49:26.243,5.5173,0.0399,18,5.5572,12.4428,10_0.1_k8s_k8s
10,2023-01-07 17:49:08.386393,2023-01-07 17:49:27.068,19.576,0.0381,18,19.6141,-1.6141000000000005,10_0.1_k8s_k8s
11,2023-01-07 17:49:09.438705,2023-01-07 17:49:27.426,16.918,0.0785,17,16.996499999999997,0.003500000000002501,10_0.1_k8s_k8s
13,2023-01-07 17:49:11.202307,2023-01-07 17:49:27.505,6.9446,0.0730,16,7.017600000000001,8.982399999999998,10_0.1_k8s_k8s
12,2023-01-07 17:49:10.448503,2023-01-07 17:49:27.511,19.099,0.0743,17,19.1733,-2.173300000000001,10_0.1_k8s_k8s
