,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 07:01:11.861,2022-09-01 07:01:16.932,4.693,0.0383,5,4.731299999999999,0.2687000000000008
1,2,2022-09-01 07:01:11.867,2022-09-01 07:01:22.366,4.546,0.0358,10,4.5818,5.4182
2,3,2022-09-01 07:01:11.880,2022-09-01 07:01:27.610,4.620,0.0371,15,4.6571,10.3429
3,4,2022-09-01 07:01:11.890,2022-09-01 07:01:32.426,4.714,0.0551,20,4.769100000000001,15.230899999999998
4,5,2022-09-01 07:01:11.896,2022-09-01 07:01:37.613,4.561,0.0410,25,4.602,20.398
5,6,2022-09-01 07:01:11.912,2022-09-01 07:01:42.212,4.533,0.0424,30,4.5754,25.424599999999998
6,7,2022-09-01 07:01:11.920,2022-09-01 07:01:46.826,4.533,0.0397,34,4.5727,29.4273
7,8,2022-09-01 07:01:11.939,2022-09-01 07:01:51.597,4.526,0.0419,39,4.5679,34.4321
8,9,2022-09-01 07:01:11.958,2022-09-01 07:01:56.439,4.741,0.0381,44,4.7791,39.2209
9,10,2022-09-01 07:01:11.966,2022-09-01 07:02:01.286,4.579,0.0407,49,4.6197,44.3803
10,11,2022-09-01 07:01:11.973,2022-09-01 07:02:07.022,4.728,0.0378,55,4.7658,50.2342
11,12,2022-09-01 07:01:11.982,2022-09-01 07:02:12.425,4.539,0.0336,60,4.5725999999999996,55.4274
12,13,2022-09-01 07:01:11.991,2022-09-01 07:02:17.658,4.712,0.0404,65,4.7524,60.2476
13,14,2022-09-01 07:01:11.998,2022-09-01 07:02:22.480,4.760,0.0394,70,4.7993999999999994,65.2006
14,15,2022-09-01 07:01:12.007,2022-09-01 07:02:27.459,4.735,0.0416,75,4.7766,70.2234
