,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 08:35:40.883,2022-09-01 08:35:45.777,4.716,0.0461,4,4.7621,-0.7621000000000002
1,2,2022-09-01 08:35:40.889,2022-09-01 08:35:50.692,4.711,0.0410,9,4.752000000000001,4.247999999999999
2,3,2022-09-01 08:35:40.896,2022-09-01 08:35:55.337,4.592,0.0415,14,4.6335,9.3665
3,4,2022-09-01 08:35:40.901,2022-09-01 08:36:00.114,4.725,0.0328,19,4.7578,14.2422
4,5,2022-09-01 08:35:40.907,2022-09-01 08:36:05.348,4.655,0.0419,24,4.6969,19.3031
5,6,2022-09-01 08:35:40.916,2022-09-01 08:36:10.342,4.548,0.0394,29,4.5874,24.4126
6,7,2022-09-01 08:35:40.926,2022-09-01 08:36:15.183,4.751,0.0343,34,4.7853,29.2147
7,8,2022-09-01 08:35:40.936,2022-09-01 08:36:20.179,4.810,0.0385,39,4.8485,34.1515
8,9,2022-09-01 08:35:40.945,2022-09-01 08:36:25.941,4.698,0.0355,44,4.7335,39.2665
9,10,2022-09-01 08:35:40.952,2022-09-01 08:36:30.761,4.751,0.0392,49,4.7902000000000005,44.2098
10,11,2022-09-01 08:35:40.966,2022-09-01 08:36:35.370,4.538,0.0355,54,4.5735,49.4265
11,12,2022-09-01 08:35:40.974,2022-09-01 08:36:40.640,4.944,0.0382,59,4.9822,54.0178
12,13,2022-09-01 08:35:40.981,2022-09-01 08:36:45.333,4.617,0.0388,64,4.6558,59.3442
13,14,2022-09-01 08:35:40.991,2022-09-01 08:36:50.724,4.560,0.0455,69,4.605499999999999,64.3945
14,15,2022-09-01 08:35:40.997,2022-09-01 08:36:55.589,4.519,0.0387,74,4.5577000000000005,69.4423
