,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 13:19:16.122,2022-09-01 13:19:22.555, 4.53,0.0387,6,4.568700000000001,1.4312999999999994
1,2,2022-09-01 13:19:16.128,2022-09-01 13:19:27.418, 4.73,0.0394,11,4.7694,6.2306
2,3,2022-09-01 13:19:16.141,2022-09-01 13:19:32.196, 4.49,0.0445,16,4.5345,11.465499999999999
3,4,2022-09-01 13:19:16.146,2022-09-01 13:19:37.090, 4.77,0.0443,20,4.814299999999999,15.1857
4,5,2022-09-01 13:19:16.153,2022-09-01 13:19:46.918, 4.56,0.0395,30,4.5995,25.4005
5,6,2022-09-01 13:19:16.161,2022-09-01 13:19:51.961, 4.72,0.0418,35,4.7618,30.2382
6,7,2022-09-01 13:19:16.166,2022-09-01 13:19:56.963, 4.75,0.0427,40,4.7927,35.207300000000004
7,8,2022-09-01 13:19:16.173,2022-09-01 13:20:01.704, 4.57,0.0358,45,4.6058,40.3942
8,9,2022-09-01 13:19:16.178,2022-09-01 13:20:06.294, 4.52,0.0414,50,4.5614,45.4386
9,10,2022-09-01 13:19:16.189,2022-09-01 13:20:10.949, 4.57,0.0405,54,4.6105,49.3895
10,11,2022-09-01 13:19:16.199,2022-09-01 13:20:15.844, 4.80,0.0411,59,4.8411,54.1589
11,12,2022-09-01 13:19:16.206,2022-09-01 13:20:20.939, 4.68,0.0362,64,4.7162,59.2838
12,13,2022-09-01 13:19:16.216,2022-09-01 13:20:25.816, 4.57,0.0389,69,4.6089,64.3911
13,14,2022-09-01 13:19:16.223,2022-09-01 13:20:30.777, 4.58,0.0395,74,4.6195,69.3805
14,15,2022-09-01 13:19:16.234,2022-09-01 13:20:35.946, 4.75,0.0391,79,4.7891,74.2109
