,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 18:07:15.057,2022-09-01 18:07:20.818, 5.12,0.0410,5,5.1610000000000005,-0.16100000000000048
1,2,2022-09-01 18:07:15.063,2022-09-01 18:07:21.717, 5.20,0.0386,6,5.2386,0.7614000000000001
2,3,2022-09-01 18:07:15.069,2022-09-01 18:07:22.077, 5.23,0.0356,7,5.2656,1.7344
3,4,2022-09-01 18:07:15.078,2022-09-01 18:07:26.259, 5.26,0.0359,11,5.2959,5.7041
4,5,2022-09-01 18:07:15.086,2022-09-01 18:07:26.819, 5.03,0.0410,11,5.071000000000001,5.928999999999999
5,6,2022-09-01 18:07:15.093,2022-09-01 18:07:27.357, 5.01,0.0358,12,5.0458,6.9542
6,7,2022-09-01 18:07:15.106,2022-09-01 18:07:31.468, 4.96,0.0372,16,4.9972,11.0028
7,8,2022-09-01 18:07:15.113,2022-09-01 18:07:32.585, 5.06,0.0364,17,5.0964,11.9036
8,9,2022-09-01 18:07:15.121,2022-09-01 18:07:32.624, 5.48,0.0438,17,5.5238000000000005,11.476199999999999
9,10,2022-09-01 18:07:15.130,2022-09-01 18:07:36.811, 5.27,0.0377,21,5.3077,15.6923
10,11,2022-09-01 18:07:15.137,2022-09-01 18:07:38.215, 5.27,0.0408,23,5.3107999999999995,17.6892
11,12,2022-09-01 18:07:15.151,2022-09-01 18:07:38.253, 5.28,0.0346,23,5.3146,17.6854
12,13,2022-09-01 18:07:15.159,2022-09-01 18:07:41.903, 4.99,0.0396,26,5.0296,20.970399999999998
13,14,2022-09-01 18:07:15.165,2022-09-01 18:07:43.350, 5.03,0.0321,28,5.0621,22.9379
14,15,2022-09-01 18:07:15.173,2022-09-01 18:07:43.546, 5.24,0.0381,28,5.2781,22.721899999999998
15,16,2022-09-01 18:07:15.180,2022-09-01 18:07:47.151, 5.17,0.0422,31,5.2122,25.7878
16,17,2022-09-01 18:07:15.188,2022-09-01 18:07:48.465, 5.01,0.0450,33,5.055,27.945
17,18,2022-09-01 18:07:15.200,2022-09-01 18:07:48.534, 4.94,0.0375,33,4.9775,28.0225
18,19,2022-09-01 18:07:15.207,2022-09-01 18:07:52.272, 4.97,0.0404,37,5.0104,31.9896
19,20,2022-09-01 18:07:15.218,2022-09-01 18:07:53.197, 4.64,0.0386,37,4.678599999999999,32.3214
