,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 17:46:41.599,2022-09-01 17:46:46.227, 2.55,0.0338,4,2.5837999999999997,1.4162000000000003
1,2,2022-09-01 17:46:41.606,2022-09-01 17:46:48.692, 5.00,0.0396,7,5.0396,1.9604
2,3,2022-09-01 17:46:41.612,2022-09-01 17:46:49.784, 5.24,0.0395,8,5.2795000000000005,2.7204999999999995
3,4,2022-09-01 17:46:41.621,2022-09-01 17:46:51.662, 5.31,0.0388,10,5.3488,4.6512
4,5,2022-09-01 17:46:41.632,2022-09-01 17:46:53.810, 5.02,0.0359,12,5.055899999999999,6.944100000000001
5,6,2022-09-01 17:46:41.639,2022-09-01 17:46:54.815, 4.96,0.0358,13,4.9958,8.0042
6,7,2022-09-01 17:46:41.651,2022-09-01 17:46:56.831, 5.10,0.0358,15,5.1358,9.8642
7,8,2022-09-01 17:46:41.662,2022-09-01 17:46:59.007, 5.07,0.0338,17,5.103800000000001,11.8962
8,9,2022-09-01 17:46:41.668,2022-09-01 17:47:00.191, 5.12,0.0382,18,5.1582,12.8418
9,10,2022-09-01 17:46:41.675,2022-09-01 17:47:01.979, 5.07,0.0407,20,5.1107000000000005,14.889299999999999
10,11,2022-09-01 17:46:41.683,2022-09-01 17:47:04.415, 5.29,0.0440,22,5.334,16.666
11,12,2022-09-01 17:46:41.696,2022-09-01 17:47:05.335, 5.07,0.0385,23,5.1085,17.8915
12,13,2022-09-01 17:46:41.709,2022-09-01 17:47:07.242, 5.18,0.0428,25,5.222799999999999,19.7772
13,14,2022-09-01 17:46:41.716,2022-09-01 17:47:09.920, 5.41,0.0410,28,5.4510000000000005,22.549
14,15,2022-09-01 17:46:41.722,2022-09-01 17:47:10.657, 5.24,0.0392,28,5.2792,22.7208
15,16,2022-09-01 17:46:41.731,2022-09-01 17:47:12.627, 4.91,0.0443,30,4.9543,25.0457
16,17,2022-09-01 17:46:41.737,2022-09-01 17:47:15.113, 5.12,0.0399,33,5.1599,27.8401
17,18,2022-09-01 17:46:41.745,2022-09-01 17:47:16.062, 5.00,0.0754,34,5.0754,28.924599999999998
18,19,2022-09-01 17:46:41.753,2022-09-01 17:47:17.758, 5.04,0.0363,36,5.0763,30.9237
19,20,2022-09-01 17:46:41.767,2022-09-01 17:47:20.081, 4.91,0.0336,38,4.9436,33.0564
