,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-02 09:17:17.418,2022-09-02 09:17:21.033, 2.57,0.0440,3,2.614,0.3860000000000001
1,2,2022-09-02 09:17:17.424,2022-09-02 09:17:23.636, 5.17,0.0446,6,5.2146,0.7854000000000001
2,3,2022-09-02 09:17:17.431,2022-09-02 09:17:23.681, 5.18,0.0452,6,5.2252,0.7747999999999999
3,4,2022-09-02 09:17:17.438,2022-09-02 09:17:26.451, 5.25,0.0496,9,5.2996,3.7004
4,5,2022-09-02 09:17:17.444,2022-09-02 09:17:28.722, 5.00,0.0396,11,5.0396,5.9604
5,6,2022-09-02 09:17:17.454,2022-09-02 09:17:29.164, 5.44,0.0429,11,5.482900000000001,5.517099999999999
6,7,2022-09-02 09:17:17.462,2022-09-02 09:17:31.825, 5.25,0.0365,14,5.2865,8.7135
7,8,2022-09-02 09:17:17.472,2022-09-02 09:17:33.798, 5.00,0.0389,16,5.0389,10.9611
8,9,2022-09-02 09:17:17.481,2022-09-02 09:17:35.256, 5.42,0.0364,17,5.4564,11.5436
9,10,2022-09-02 09:17:17.489,2022-09-02 09:17:37.209, 5.32,0.0379,19,5.3579,13.6421
10,11,2022-09-02 09:17:17.503,2022-09-02 09:17:39.307, 5.19,0.0373,21,5.2273000000000005,15.7727
11,12,2022-09-02 09:17:17.510,2022-09-02 09:17:40.517, 5.17,0.0367,23,5.2067,17.793300000000002
12,13,2022-09-02 09:17:17.517,2022-09-02 09:17:42.549, 5.27,0.0397,25,5.309699999999999,19.6903
13,14,2022-09-02 09:17:17.525,2022-09-02 09:17:44.591, 5.21,0.0384,27,5.2484,21.7516
14,15,2022-09-02 09:17:17.532,2022-09-02 09:17:45.563, 4.97,0.0369,28,5.0069,22.9931
15,16,2022-09-02 09:17:17.540,2022-09-02 09:17:51.028, 5.35,2.9444,33,8.2944,24.7056
16,17,2022-09-02 09:17:17.547,2022-09-02 09:17:51.773, 5.11,0.0367,34,5.1467,28.8533
17,18,2022-09-02 09:17:17.555,2022-09-02 09:17:51.813, 5.26,0.0329,34,5.2928999999999995,28.7071
18,19,2022-09-02 09:17:17.566,2022-09-02 09:17:54.268, 5.38,0.0401,36,5.4201,30.579900000000002
19,20,2022-09-02 09:17:17.573,2022-09-02 09:17:55.009, 5.17,0.0392,37,5.2092,31.7908
20,21,2022-09-02 09:17:17.582,2022-09-02 09:17:57.049, 5.74,0.5864,39,6.3264000000000005,32.6736
21,22,2022-09-02 09:17:17.589,2022-09-02 09:17:59.479, 5.15,0.0396,41,5.1896,35.8104
22,23,2022-09-02 09:17:17.600,2022-09-02 09:18:00.380, 5.29,0.0493,42,5.3393,36.6607
23,24,2022-09-02 09:17:17.608,2022-09-02 09:18:02.657, 5.29,0.0387,45,5.3287,39.6713
24,25,2022-09-02 09:17:17.616,2022-09-02 09:18:05.081, 5.22,0.0384,47,5.2584,41.7416
25,26,2022-09-02 09:17:17.625,2022-09-02 09:18:05.819, 5.38,0.0426,48,5.4226,42.5774
26,27,2022-09-02 09:17:17.638,2022-09-02 09:18:08.084, 5.32,0.0380,50,5.3580000000000005,44.641999999999996
27,28,2022-09-02 09:17:17.644,2022-09-02 09:18:10.263, 5.12,0.0436,52,5.1636,46.8364
28,29,2022-09-02 09:17:17.654,2022-09-02 09:18:10.975, 5.08,0.0419,53,5.1219,47.8781
29,30,2022-09-02 09:17:17.663,2022-09-02 09:18:13.386, 5.19,0.0398,55,5.2298,49.7702
30,31,2022-09-02 09:17:17.669,2022-09-02 09:18:15.422, 5.09,0.0419,57,5.1319,51.8681
31,32,2022-09-02 09:17:17.677,2022-09-02 09:18:16.771, 5.37,0.0414,59,5.4114,53.5886
32,33,2022-09-02 09:17:17.683,2022-09-02 09:18:18.800, 5.32,0.0381,61,5.3581,55.6419
33,34,2022-09-02 09:17:17.690,2022-09-02 09:18:20.685, 5.19,0.0402,62,5.2302,56.769800000000004
34,35,2022-09-02 09:17:17.702,2022-09-02 09:18:21.909, 5.07,0.0425,64,5.112500000000001,58.8875
35,36,2022-09-02 09:17:17.709,2022-09-02 09:18:23.966, 5.09,0.0405,66,5.1305,60.8695
36,37,2022-09-02 09:17:17.722,2022-09-02 09:18:26.056, 5.22,0.0437,68,5.2637,62.7363
37,38,2022-09-02 09:17:17.728,2022-09-02 09:18:27.054, 5.08,0.0429,69,5.1229000000000005,63.8771
38,39,2022-09-02 09:17:17.735,2022-09-02 09:18:29.344, 5.28,0.0421,71,5.3221,65.6779
39,40,2022-09-02 09:17:17.746,2022-09-02 09:18:31.697, 5.14,0.0566,73,5.1966,67.8034
40,41,2022-09-02 09:17:17.755,2022-09-02 09:18:32.123, 5.00,0.0417,74,5.0417,68.9583
41,42,2022-09-02 09:17:17.768,2022-09-02 09:18:34.662, 5.18,0.0464,76,5.2264,70.7736
42,43,2022-09-02 09:17:17.775,2022-09-02 09:18:36.936, 5.18,0.0412,79,5.2212,73.7788
43,44,2022-09-02 09:17:17.782,2022-09-02 09:18:37.595, 5.38,0.0392,79,5.4192,73.5808
44,45,2022-09-02 09:17:17.790,2022-09-02 09:18:39.774, 5.07,0.0405,81,5.1105,75.8895
45,46,2022-09-02 09:17:17.799,2022-09-02 09:18:42.479, 5.11,0.0442,84,5.1542,78.8458
46,47,2022-09-02 09:17:17.808,2022-09-02 09:18:42.678, 5.02,0.0368,84,5.0568,78.9432
47,48,2022-09-02 09:17:17.816,2022-09-02 09:18:45.164, 5.32,0.0429,87,5.362900000000001,81.6371
48,49,2022-09-02 09:17:17.830,2022-09-02 09:18:47.781, 5.21,0.0545,89,5.2645,83.7355
49,50,2022-09-02 09:17:17.840,2022-09-02 09:18:48.002, 5.26,0.0356,90,5.295599999999999,84.7044
50,51,2022-09-02 09:17:17.848,2022-09-02 09:18:50.329, 5.10,0.0408,92,5.1408,86.8592
51,52,2022-09-02 09:17:17.856,2022-09-02 09:18:53.295, 5.13,0.0418,95,5.1718,89.8282
52,53,2022-09-02 09:17:17.863,2022-09-02 09:18:53.333, 5.14,0.0338,95,5.1738,89.8262
53,54,2022-09-02 09:17:17.872,2022-09-02 09:18:55.624, 5.21,0.0347,97,5.2447,91.7553
54,55,2022-09-02 09:17:17.887,2022-09-02 09:18:59.448, 5.36,0.0501,101,5.4101,95.5899
55,56,2022-09-02 09:17:17.894,2022-09-02 09:18:59.559, 5.49,0.0361,101,5.5261000000000005,95.4739
56,57,2022-09-02 09:17:17.901,2022-09-02 09:19:00.921, 5.17,0.0390,103,5.209,97.791
57,58,2022-09-02 09:17:17.910,2022-09-02 09:19:05.289, 5.13,0.0422,107,5.1722,101.8278
58,59,2022-09-02 09:17:17.918,2022-09-02 09:19:05.330, 5.16,0.0422,107,5.2022,101.7978
59,60,2022-09-02 09:17:17.931,2022-09-02 09:19:06.229, 5.18,0.0392,108,5.2192,102.7808
60,61,2022-09-02 09:17:17.939,2022-09-02 09:19:10.695, 5.31,0.0469,112,5.3568999999999996,106.6431
61,62,2022-09-02 09:17:17.947,2022-09-02 09:19:10.739, 5.26,0.0416,112,5.3016,106.6984
62,63,2022-09-02 09:17:17.955,2022-09-02 09:19:11.495, 5.19,0.0378,113,5.2278,107.7722
63,64,2022-09-02 09:17:17.969,2022-09-02 09:19:15.634, 4.86,0.0400,117,4.9,112.1
64,65,2022-09-02 09:17:17.975,2022-09-02 09:19:15.694, 4.93,0.0431,117,4.9731,112.0269
65,66,2022-09-02 09:17:17.984,2022-09-02 09:19:16.899, 5.32,0.0388,118,5.3588000000000005,112.6412
66,67,2022-09-02 09:17:17.992,2022-09-02 09:19:20.814, 5.07,0.0417,122,5.1117,116.8883
67,68,2022-09-02 09:17:18.000,2022-09-02 09:19:21.047, 5.27,0.0377,123,5.3077,117.6923
68,69,2022-09-02 09:17:18.008,2022-09-02 09:19:22.234, 5.12,0.0368,124,5.1568000000000005,118.8432
69,70,2022-09-02 09:17:18.014,2022-09-02 09:19:26.201, 5.30,0.0402,128,5.340199999999999,122.6598
70,71,2022-09-02 09:17:18.021,2022-09-02 09:19:26.437, 5.30,0.0491,128,5.3491,122.65090000000001
71,72,2022-09-02 09:17:18.041,2022-09-02 09:19:27.623, 5.12,0.0427,129,5.1627,123.8373
72,73,2022-09-02 09:17:18.053,2022-09-02 09:19:31.697, 5.17,0.0412,133,5.2112,127.7888
73,74,2022-09-02 09:17:18.059,2022-09-02 09:19:31.829, 5.31,0.0407,133,5.3507,127.6493
74,75,2022-09-02 09:17:18.065,2022-09-02 09:19:32.836, 5.03,0.0398,134,5.0698,128.9302
75,76,2022-09-02 09:17:18.073,2022-09-02 09:19:36.826, 5.07,0.0350,138,5.105,132.895
76,77,2022-09-02 09:17:18.083,2022-09-02 09:19:37.226, 5.31,0.0357,139,5.3457,133.6543
77,78,2022-09-02 09:17:18.093,2022-09-02 09:19:38.325, 5.40,0.0390,140,5.439,134.561
78,79,2022-09-02 09:17:18.102,2022-09-02 09:19:42.165, 5.28,0.0440,144,5.324,138.676
