,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 08:05:25.044,2022-09-01 08:05:30.278,4.547,0.0428,5,4.589799999999999,0.41020000000000056
1,2,2022-09-01 08:05:25.050,2022-09-01 08:05:35.371,4.723,0.0399,10,4.7629,5.2371
2,3,2022-09-01 08:05:25.060,2022-09-01 08:05:40.011,4.520,0.0404,14,4.5604,9.4396
3,4,2022-09-01 08:05:25.066,2022-09-01 08:05:45.103,4.719,0.0382,20,4.7572,15.242799999999999
4,5,2022-09-01 08:05:25.074,2022-09-01 08:05:49.864,4.695,0.0409,24,4.7359,19.2641
5,6,2022-09-01 08:05:25.081,2022-09-01 08:05:55.089,4.511,0.0389,30,4.5499,25.4501
6,7,2022-09-01 08:05:25.089,2022-09-01 08:06:00.566,4.738,0.0368,35,4.774800000000001,30.2252
7,8,2022-09-01 08:05:25.097,2022-09-01 08:06:05.431,4.787,0.0408,40,4.8278,35.172200000000004
8,9,2022-09-01 08:05:25.105,2022-09-01 08:06:10.390,4.831,0.0371,45,4.8681,40.1319
9,10,2022-09-01 08:05:25.113,2022-09-01 08:06:15.064,4.600,0.0438,49,4.6438,44.3562
10,11,2022-09-01 08:05:25.124,2022-09-01 08:06:19.704,4.571,0.0400,54,4.611,49.389
11,12,2022-09-01 08:05:25.133,2022-09-01 08:06:25.218,4.529,0.0369,60,4.5659,55.4341
12,13,2022-09-01 08:05:25.140,2022-09-01 08:06:30.264,4.618,0.0428,65,4.6608,60.3392
13,14,2022-09-01 08:05:25.147,2022-09-01 08:06:35.420,4.765,0.0352,70,4.800199999999999,65.1998
14,15,2022-09-01 08:05:25.156,2022-09-01 08:06:40.137,4.545,0.0348,74,4.5798,69.4202
