,PT,frequency,pdf,cdf
0,4.0,15,0.3333333333333333,0.3333333333333333
1,5.0,12,0.26666666666666666,0.6
2,6.0,5,0.1111111111111111,0.711111111111111
3,7.0,5,0.1111111111111111,0.8222222222222222
4,8.0,3,0.06666666666666667,0.8888888888888888
5,9.0,1,0.022222222222222223,0.9111111111111111
6,10.0,3,0.06666666666666667,0.9777777777777777
7,14.0,1,0.022222222222222223,1.0
