Average Workload TPT,Workload TPT,workload_size,workload_type,Average FET
13.343981567567567,142.634278,37,37_120_rps_0.04,13.222224324324326
21.712463666666668,163.892761,45,45_120_rps_0.05,21.366817777777776
23.10916794,181.856853,50,50_120_rps_0.06,25.198708
23.998150468085107,167.685005,47,47_120_rps_0.05,23.830659574468083
25.439363872340433,173.448969,47,47_120_rps_0.05,24.558274468085106
25.439363872340433,173.448969,47,47_120_rps_0.05,24.558274468085106
17.387262690476188,155.324578,42,42_120_rps_0.05,16.931921428571428
6.5523965777777775,123.298365,45,45_120_rps_0.05,6.538488888888888
4.752425545454545,122.80315,44,44_120_rps_keda_0.05,4.534306818181817
5.364278977272727,122.351783,44,44_120_rps_keda_0.05,5.085279545454545
5.9706562142857145,120.877201,42,42_120_rps_all_keda_0.05,5.7972214285714285
6.663445045454545,125.222385,44,44_120_rps_all_keda_0.05,6.514656818181819
5.891366622222222,121.908777,45,45_120_rps_all_keda_0.05,5.705755555555556
17.683156028985508,145.165723,69,69_120_rps_keda_0.08,17.445188405797104
