,PT,frequency,pdf,cdf
0,4.0,1,0.023809523809523808,0.023809523809523808
1,5.0,2,0.047619047619047616,0.07142857142857142
2,7.0,6,0.14285714285714285,0.21428571428571427
3,8.0,3,0.07142857142857142,0.2857142857142857
4,9.0,1,0.023809523809523808,0.30952380952380953
5,11.0,1,0.023809523809523808,0.33333333333333337
6,13.0,3,0.07142857142857142,0.40476190476190477
7,14.0,2,0.047619047619047616,0.4523809523809524
8,15.0,5,0.11904761904761904,0.5714285714285714
9,16.0,4,0.09523809523809523,0.6666666666666666
10,18.0,1,0.023809523809523808,0.6904761904761905
11,19.0,1,0.023809523809523808,0.7142857142857143
12,20.0,3,0.07142857142857142,0.7857142857142857
13,25.0,4,0.09523809523809523,0.8809523809523809
14,29.0,2,0.047619047619047616,0.9285714285714286
15,30.0,1,0.023809523809523808,0.9523809523809524
16,31.0,2,0.047619047619047616,1.0
