,PT,frequency,pdf,cdf
0,5.0,3,0.02097902097902098,0.02097902097902098
1,6.0,15,0.1048951048951049,0.1258741258741259
2,7.0,19,0.13286713286713286,0.25874125874125875
3,8.0,25,0.17482517482517482,0.43356643356643354
4,9.0,31,0.21678321678321677,0.6503496503496503
5,10.0,19,0.13286713286713286,0.7832167832167831
6,11.0,11,0.07692307692307693,0.86013986013986
7,12.0,3,0.02097902097902098,0.8811188811188809
8,13.0,3,0.02097902097902098,0.9020979020979019
9,14.0,7,0.04895104895104895,0.9510489510489508
10,15.0,6,0.04195804195804196,0.9930069930069928
11,17.0,1,0.006993006993006993,0.9999999999999998
