,PT,frequency,pdf,cdf
0,4.0,5,0.19230769230769232,0.19230769230769232
1,5.0,2,0.07692307692307693,0.2692307692307693
2,6.0,1,0.038461538461538464,0.3076923076923077
3,7.0,1,0.038461538461538464,0.34615384615384615
4,9.0,2,0.07692307692307693,0.4230769230769231
5,11.0,1,0.038461538461538464,0.46153846153846156
6,12.0,1,0.038461538461538464,0.5
7,13.0,3,0.11538461538461539,0.6153846153846154
8,14.0,2,0.07692307692307693,0.6923076923076923
9,15.0,4,0.15384615384615385,0.8461538461538461
10,16.0,2,0.07692307692307693,0.9230769230769231
11,17.0,2,0.07692307692307693,1.0
