,PT,frequency,pdf,cdf
0,4.0,22,0.21782178217821782,0.21782178217821782
1,5.0,10,0.09900990099009901,0.31683168316831684
2,6.0,8,0.07920792079207921,0.39603960396039606
3,7.0,5,0.04950495049504951,0.44554455445544555
4,8.0,7,0.06930693069306931,0.5148514851485149
5,9.0,2,0.019801980198019802,0.5346534653465347
6,10.0,5,0.04950495049504951,0.5841584158415842
7,11.0,2,0.019801980198019802,0.603960396039604
8,12.0,1,0.009900990099009901,0.613861386138614
9,13.0,5,0.04950495049504951,0.6633663366336635
10,14.0,5,0.04950495049504951,0.7128712871287131
11,15.0,4,0.039603960396039604,0.7524752475247527
12,16.0,6,0.0594059405940594,0.8118811881188122
13,17.0,4,0.039603960396039604,0.8514851485148518
14,18.0,4,0.039603960396039604,0.8910891089108914
15,19.0,2,0.019801980198019802,0.9108910891089113
16,20.0,3,0.0297029702970297,0.940594059405941
17,21.0,3,0.0297029702970297,0.9702970297029707
18,22.0,1,0.009900990099009901,0.9801980198019806
19,23.0,2,0.019801980198019802,1.0000000000000004
