Average Workload TPT,Workload TPT,workload_size,workload_type,Average FET
11.965319244444446,143.776106,45,45_120_keda,11.506742222222222
8.97541740425532,128.887709,47,47_120_keda,8.582521276595743
8.472999272727272,123.44382,44,44_120_keda,8.069306818181818
13.348709957446806,141.320173,47,47_120_keda_0.05,12.66897659574468
11.792391837209305,132.40495,43,43_120_keda_all_0.05,9.096046511627907
11.583683139534884,140.159351,43,43_120_keda_all_polling_2_0.05,10.409893023255814
16.30270548837209,142.62821,43,43_120_keda_all_polling_2_0.05,15.636218604651162
24.98944213333333,172.641752,45,45_120_keda_all_iteration_2_0.05,24.0741
12.828963761904763,141.403848,42,42_120_keda_all_iteration_2_0.05,12.298542857142856
14.630456880952378,147.714537,42,42_120_keda_keda_0.05,13.837902380952382
19.14967948888889,161.420765,45,45_120_keda_keda_0.05,18.542102222222223
22.575395822222223,164.608417,45,45_120_keda_keda_0.05,20.98375555555555
22.3634225,162.01319,44,44_120_no_scaling_0.05,22.334125000000004
