,PT,frequency,pdf,cdf
0,4.0,2,0.015625,0.015625
1,5.0,1,0.0078125,0.0234375
2,6.0,2,0.015625,0.0390625
3,7.0,2,0.015625,0.0546875
4,10.0,4,0.03125,0.0859375
5,11.0,2,0.015625,0.1015625
6,12.0,5,0.0390625,0.140625
7,13.0,12,0.09375,0.234375
8,14.0,26,0.203125,0.4375
9,15.0,22,0.171875,0.609375
10,16.0,6,0.046875,0.65625
11,17.0,17,0.1328125,0.7890625
12,18.0,7,0.0546875,0.84375
13,19.0,7,0.0546875,0.8984375
14,20.0,7,0.0546875,0.953125
15,21.0,2,0.015625,0.96875
16,27.0,2,0.015625,0.984375
17,28.0,2,0.015625,1.0
