,PT,frequency,pdf,cdf
0,4.0,4,0.09523809523809523,0.09523809523809523
1,5.0,3,0.07142857142857142,0.16666666666666666
2,6.0,2,0.047619047619047616,0.21428571428571427
3,7.0,2,0.047619047619047616,0.26190476190476186
4,9.0,1,0.023809523809523808,0.2857142857142857
5,10.0,2,0.047619047619047616,0.3333333333333333
6,11.0,2,0.047619047619047616,0.38095238095238093
7,12.0,1,0.023809523809523808,0.40476190476190477
8,13.0,4,0.09523809523809523,0.5
9,17.0,5,0.11904761904761904,0.6190476190476191
10,20.0,1,0.023809523809523808,0.6428571428571429
11,23.0,1,0.023809523809523808,0.6666666666666667
12,24.0,2,0.047619047619047616,0.7142857142857144
13,25.0,2,0.047619047619047616,0.7619047619047621
14,28.0,2,0.047619047619047616,0.8095238095238098
15,31.0,1,0.023809523809523808,0.8333333333333336
16,32.0,1,0.023809523809523808,0.8571428571428574
17,33.0,1,0.023809523809523808,0.8809523809523813
18,34.0,1,0.023809523809523808,0.9047619047619051
19,36.0,1,0.023809523809523808,0.9285714285714289
20,37.0,2,0.047619047619047616,0.9761904761904765
21,38.0,1,0.023809523809523808,1.0000000000000002
