,PT,frequency,pdf,cdf
0,0.0,1,0.02,0.02
1,1.0,1,0.02,0.04
2,4.0,3,0.06,0.1
3,5.0,3,0.06,0.16
4,6.0,3,0.06,0.22
5,7.0,3,0.06,0.28
6,8.0,3,0.06,0.34
7,9.0,1,0.02,0.36000000000000004
8,10.0,1,0.02,0.38000000000000006
9,12.0,1,0.02,0.4000000000000001
10,14.0,2,0.04,0.44000000000000006
11,15.0,2,0.04,0.48000000000000004
12,19.0,1,0.02,0.5
13,21.0,2,0.04,0.54
14,22.0,1,0.02,0.56
15,23.0,1,0.02,0.5800000000000001
16,25.0,1,0.02,0.6000000000000001
17,26.0,1,0.02,0.6200000000000001
18,29.0,1,0.02,0.6400000000000001
19,30.0,1,0.02,0.6600000000000001
20,33.0,1,0.02,0.6800000000000002
21,34.0,2,0.04,0.7200000000000002
22,36.0,1,0.02,0.7400000000000002
23,37.0,2,0.04,0.7800000000000002
24,38.0,1,0.02,0.8000000000000003
25,43.0,1,0.02,0.8200000000000003
26,48.0,3,0.06,0.8800000000000003
27,49.0,1,0.02,0.9000000000000004
28,53.0,1,0.02,0.9200000000000004
29,54.0,3,0.06,0.9800000000000004
30,58.0,1,0.02,1.0000000000000004
