,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 09:07:31.532,2022-09-01 09:07:36.197,4.508,0.0464,4,4.5544,-0.5544000000000002
1,2,2022-09-01 09:07:31.538,2022-09-01 09:07:41.055,4.685,0.0406,9,4.7256,4.2744
2,3,2022-09-01 09:07:31.546,2022-09-01 09:07:46.270,4.518,0.0396,14,4.5576,9.4424
3,4,2022-09-01 09:07:31.552,2022-09-01 09:07:51.728,4.540,0.0390,20,4.579,15.421
4,5,2022-09-01 09:07:31.559,2022-09-01 09:07:56.820,4.529,0.0375,25,4.5665,20.433500000000002
5,6,2022-09-01 09:07:31.567,2022-09-01 09:08:01.566,4.510,0.0469,29,4.5569,24.4431
6,7,2022-09-01 09:07:31.576,2022-09-01 09:08:06.114,4.499,0.0485,34,4.547499999999999,29.4525
7,8,2022-09-01 09:07:31.586,2022-09-01 09:08:10.903,4.718,0.0408,39,4.7588,34.2412
8,9,2022-09-01 09:07:31.595,2022-09-01 09:08:15.550,4.597,0.0392,43,4.6362000000000005,38.3638
9,10,2022-09-01 09:07:31.603,2022-09-01 09:08:20.147,4.535,0.0634,48,4.5984,43.4016
10,11,2022-09-01 09:07:31.611,2022-09-01 09:08:25.404,4.705,0.0371,53,4.7421,48.2579
11,12,2022-09-01 09:07:31.619,2022-09-01 09:08:30.643,4.514,0.0360,59,4.55,54.45
12,13,2022-09-01 09:07:31.627,2022-09-01 09:08:35.561,4.615,0.0387,63,4.653700000000001,58.3463
13,14,2022-09-01 09:07:31.634,2022-09-01 09:08:40.169,4.532,0.0380,68,4.57,63.43
14,15,2022-09-01 09:07:31.645,2022-09-01 09:08:45.254,4.565,0.0362,73,4.6012,68.3988
15,16,2022-09-01 09:07:31.651,2022-09-01 09:08:50.603,4.534,0.0324,78,4.5664,73.4336
16,17,2022-09-01 09:07:31.660,2022-09-01 09:08:55.385,4.698,0.0376,83,4.735600000000001,78.2644
17,18,2022-09-01 09:07:31.667,2022-09-01 09:09:01.243,4.488,0.0366,89,4.5246,84.4754
18,19,2022-09-01 09:07:31.675,2022-09-01 09:09:06.258,4.527,0.0428,94,4.5698,89.4302
19,20,2022-09-01 09:07:31.683,2022-09-01 09:09:11.409,5.017,0.0317,99,5.0487,93.9513
