workload_type,workload_size,Workload TPT,Average Workload TPT,Average FET,Average CT,C_CPU,C_RAM,C_disk_read,C_disk_write,C_network_recieve,C_network_transmit,pod_cpu_aeneas_function,pod_cpu_functions_all,pod_cpu_mosquitto_broker,pod_cpu_mosquitto_connector_aeneas,pod_cpu_mosquitto_connector_tocloud
15_namespace_no_conf,15,586,39.06666666666667,4.67122,34.395446666666665,0.664105668161368,1152569344,2371.849377436326,40609.69993916503,165425.08360211382,178692.96315192795,1.4025554636887525,1.430815602290556,0.0013645866329219,0.1804243525729069,0.0234245557350166
15_namespace_no_conf,15,595,39.666666666666664,4.685886666666667,34.980779999999996,0.6677291128522955,1356099584,1657.9274284170378,7417.0472615625295,200201.3563009091,184093.7791701856,1.3373920947255364,1.370080156262281,0.0024442829455149,0.2867049331909507,0.0269586782801478
15_namespace_no_conf,15,617,41.13333333333333,4.67954,36.45379333333334,0.7636640576232935,1203163136,3765.25794269584,78985.18152747859,207680.69626267027,202791.51278469173,1.7755720155535752,1.8076515507852489,0.0022758829207886,0.3073649180466529,0.0224851117336144
15_namespace_no_conf,15,585,39.0,4.714793333333333,34.28520666666667,0.7521979617892985,1151229952,15513.359049978928,108325.57252427972,193743.32684772476,155646.0532371778,1.9757172791549136,2.0033161827141934,0.0019466652012729,0.3063290629058978,0.0270917812834102
15_namespace_no_conf,15,602,40.13333333333333,4.692246666666666,35.44108666666667,0.6557003363140643,1229615104,10782.577583498845,84192.40169000784,183903.10546023413,182977.86964179142,1.7901104985760234,1.8189753427053792,0.002318781648348228,0.4092080808135131,0.02307230691155472
