,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 11:08:07.634,2022-09-01 11:08:12.975,4.536,0.0374,5,4.5733999999999995,0.42660000000000053
1,2,2022-09-01 11:08:07.641,2022-09-01 11:08:17.922,4.630,0.0438,10,4.6738,5.3262
2,3,2022-09-01 11:08:07.652,2022-09-01 11:08:22.823,4.661,0.0410,15,4.702,10.298
3,4,2022-09-01 11:08:07.662,2022-09-01 11:08:27.897,4.637,0.0364,20,4.6734,15.3266
4,5,2022-09-01 11:08:07.669,2022-09-01 11:08:32.782,4.563,0.0325,25,4.5954999999999995,20.4045
5,6,2022-09-01 11:08:07.684,2022-09-01 11:08:37.526,4.691,0.0416,29,4.7326,24.267400000000002
6,7,2022-09-01 11:08:07.691,2022-09-01 11:08:42.115,4.524,0.0375,34,4.5615,29.4385
7,8,2022-09-01 11:08:07.700,2022-09-01 11:08:46.917,4.730,0.0392,39,4.7692000000000005,34.2308
8,9,2022-09-01 11:08:07.707,2022-09-01 11:08:51.523,4.550,0.0362,43,4.5862,38.4138
9,10,2022-09-01 11:08:07.714,2022-09-01 11:08:56.199,4.617,0.0471,48,4.6641,43.3359
10,11,2022-09-01 11:08:07.727,2022-09-01 11:09:01.296,5.022,0.0336,53,5.0556,47.9444
11,12,2022-09-01 11:08:07.734,2022-09-01 11:09:06.447,4.735,0.0360,58,4.771,53.229
12,13,2022-09-01 11:08:07.741,2022-09-01 11:09:11.563,4.693,0.0376,63,4.7306,58.2694
13,14,2022-09-01 11:08:07.751,2022-09-01 11:09:16.298,4.568,0.0700,68,4.638,63.362
14,15,2022-09-01 11:08:07.763,2022-09-01 11:09:21.914,4.702,0.0435,74,4.7455,69.25450000000001
15,16,2022-09-01 11:08:07.771,2022-09-01 11:09:27.549,4.657,0.0385,79,4.6955,74.3045
16,17,2022-09-01 11:08:07.780,2022-09-01 11:09:32.802,4.615,0.0333,85,4.6483,80.3517
17,18,2022-09-01 11:08:07.787,2022-09-01 11:09:38.374,4.741,0.0368,90,4.7778,85.2222
18,19,2022-09-01 11:08:07.794,2022-09-01 11:09:43.635,4.574,0.0370,95,4.611,90.389
19,20,2022-09-01 11:08:07.808,2022-09-01 11:09:48.643,4.505,0.0465,100,4.5515,95.4485
