,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 08:22:13.032,2022-09-01 08:22:19.002,4.721,0.0408,5,4.7618,0.23819999999999997
1,2,2022-09-01 08:22:13.039,2022-09-01 08:22:24.643,4.682,0.0486,11,4.730600000000001,6.269399999999999
2,3,2022-09-01 08:22:13.052,2022-09-01 08:22:30.199,4.596,0.0385,17,4.6345,12.3655
3,4,2022-09-01 08:22:13.058,2022-09-01 08:22:35.044,4.656,0.0380,21,4.694,16.306
4,5,2022-09-01 08:22:13.065,2022-09-01 08:22:39.663,4.541,0.0406,26,4.581600000000001,21.4184
5,6,2022-09-01 08:22:13.073,2022-09-01 08:22:44.418,4.549,0.0438,31,4.5928,26.4072
6,7,2022-09-01 08:22:13.081,2022-09-01 08:22:50.007,4.682,0.0417,36,4.7237,31.2763
7,8,2022-09-01 08:22:13.096,2022-09-01 08:22:55.095,4.715,0.0398,41,4.7547999999999995,36.2452
8,9,2022-09-01 08:22:13.103,2022-09-01 08:23:00.404,4.685,0.0394,47,4.724399999999999,42.2756
9,10,2022-09-01 08:22:13.111,2022-09-01 08:23:05.147,4.687,0.0405,52,4.7275,47.2725
10,11,2022-09-01 08:22:13.121,2022-09-01 08:23:09.858,4.632,0.0372,56,4.6692,51.330799999999996
11,12,2022-09-01 08:22:13.129,2022-09-01 08:23:14.499,4.580,0.0377,61,4.6177,56.3823
12,13,2022-09-01 08:22:13.143,2022-09-01 08:23:19.385,4.682,0.0394,66,4.7214,61.2786
13,14,2022-09-01 08:22:13.150,2022-09-01 08:23:24.368,4.668,0.0379,71,4.7059,66.2941
14,15,2022-09-01 08:22:13.156,2022-09-01 08:23:29.354,4.514,0.0392,76,4.5532,71.4468
