Unnamed: 0,timestamp,pod_count_aeneas,pod_count_tocloud,pod_count_getobject,pod_cpu_aeneas_function,pod_cpu_tocloud_function,pod_cpu_mosquitto_broker,pod_cpu_mosquitto_connector_aeneas,pod_cpu_mosquitto_connector_tocloud,pod_cpu_functions_all
0,,,,,,,,,,
0,2022-12-06 06:54:32.189631,2,1,1,552.7162130170001,2220.925530257,21421.918621442,1765.1327257149999,12930.547882878,5837.800462384999
